"qg","N","w1","w2","w3","w4","prob"
"at a news conference",7,"at","a","news","conference",2.99586485054486e-06
"at a time i",6,"at","a","time","i",2.56788415760988e-06
"at a time the",8,"at","a","time","the",3.42384554347984e-06
"at a time when",18,"at","a","time","when",7.70365247282965e-06
"at a young age",5,"at","a","young","age",2.1399034646749e-06
"at barnes and noble",5,"at","barnes","and","noble",2.1399034646749e-06
"at first i was",5,"at","first","i","was",2.1399034646749e-06
"at in the morning",12,"at","in","the","morning",5.13576831521976e-06
"at least as much",5,"at","least","as","much",2.1399034646749e-06
"at least in the",7,"at","least","in","the",2.99586485054486e-06
"at least once a",7,"at","least","once","a",2.99586485054486e-06
"at least one of",9,"at","least","one","of",3.85182623641482e-06
"at least percent of",7,"at","least","percent","of",2.99586485054486e-06
"at least some of",5,"at","least","some","of",2.1399034646749e-06
"at madison square garden",5,"at","madison","square","garden",2.1399034646749e-06
"at one of the",12,"at","one","of","the",5.13576831521976e-06
"at one point he",5,"at","one","point","he",2.1399034646749e-06
"at one point i",5,"at","one","point","i",2.1399034646749e-06
"at one point in",7,"at","one","point","in",2.99586485054486e-06
"at some of the",9,"at","some","of","the",3.85182623641482e-06
"at some point in",5,"at","some","point","in",2.1399034646749e-06
"at th street and",5,"at","th","street","and",2.1399034646749e-06
"at the age of",22,"at","the","age","of",9.41557524456957e-06
"at the back of",12,"at","the","back","of",5.13576831521976e-06
"at the base of",5,"at","the","base","of",2.1399034646749e-06
"at the beginning of",23,"at","the","beginning","of",9.84355593750455e-06
"at the bottom of",11,"at","the","bottom","of",4.70778762228478e-06
"at the center of",11,"at","the","center","of",4.70778762228478e-06
"at the core of",6,"at","the","core","of",2.56788415760988e-06
"at the corner of",6,"at","the","corner","of",2.56788415760988e-06
"at the edge of",10,"at","the","edge","of",4.2798069293498e-06
"at the end of",142,"at","the","end","of",6.07732583967672e-05
"at the expense of",11,"at","the","expense","of",4.70778762228478e-06
"at the foot of",6,"at","the","foot","of",2.56788415760988e-06
"at the grocery store",6,"at","the","grocery","store",2.56788415760988e-06
"at the hands of",5,"at","the","hands","of",2.1399034646749e-06
"at the heart of",11,"at","the","heart","of",4.70778762228478e-06
"at the height of",9,"at","the","height","of",3.85182623641482e-06
"at the high school",7,"at","the","high","school",2.99586485054486e-06
"at the intersection of",6,"at","the","intersection","of",2.56788415760988e-06
"at the last minute",7,"at","the","last","minute",2.99586485054486e-06
"at the mercy of",5,"at","the","mercy","of",2.1399034646749e-06
"at the moment and",5,"at","the","moment","and",2.1399034646749e-06
"at the next table",5,"at","the","next","table",2.1399034646749e-06
"at the request of",5,"at","the","request","of",2.1399034646749e-06
"at the right time",6,"at","the","right","time",2.56788415760988e-06
"at the same time",122,"at","the","same","time",5.22136445380676e-05
"at the start of",20,"at","the","start","of",8.55961385869961e-06
"at the thought of",5,"at","the","thought","of",2.1399034646749e-06
"at the time and",8,"at","the","time","and",3.42384554347984e-06
"at the time but",5,"at","the","time","but",2.1399034646749e-06
"at the time he",5,"at","the","time","he",2.1399034646749e-06
"at the time i",11,"at","the","time","i",4.70778762228478e-06
"at the time of",19,"at","the","time","of",8.13163316576463e-06
"at the time was",5,"at","the","time","was",2.1399034646749e-06
"at the top and",5,"at","the","top","and",2.1399034646749e-06
"at the top of",24,"at","the","top","of",1.02715366304395e-05
"at the university of",47,"at","the","university","of",2.01150925679441e-05
"at the very least",13,"at","the","very","least",5.56374900815474e-06
"at this point i",12,"at","this","point","i",5.13576831521976e-06
"at this point in",11,"at","this","point","in",4.70778762228478e-06
"at this point the",5,"at","this","point","the",2.1399034646749e-06
"at this time of",6,"at","this","time","of",2.56788415760988e-06
"averaging points rebounds and",5,"averaging","points","rebounds","and",2.1399034646749e-06
"awkward moment when you",13,"awkward","moment","when","you",5.56374900815474e-06
"back and forth between",8,"back","and","forth","between",3.42384554347984e-06
"back in the day",8,"back","in","the","day",3.42384554347984e-06
"back in time to",5,"back","in","time","to",2.1399034646749e-06
"back to the future",5,"back","to","the","future",2.1399034646749e-06
"be a better day",5,"be","a","better","day",2.1399034646749e-06
"be a bit of",5,"be","a","bit","of",2.1399034646749e-06
"be a good day",11,"be","a","good","day",4.70778762228478e-06
"be a good idea",7,"be","a","good","idea",2.99586485054486e-06
"be a good one",6,"be","a","good","one",2.56788415760988e-06
"be a lot of",7,"be","a","lot","of",2.99586485054486e-06
"be a part of",20,"be","a","part","of",8.55961385869961e-06
"be a role model",5,"be","a","role","model",2.1399034646749e-06
"be able to afford",5,"be","able","to","afford",2.1399034646749e-06
"be able to do",20,"be","able","to","do",8.55961385869961e-06
"be able to find",6,"be","able","to","find",2.56788415760988e-06
"be able to get",20,"be","able","to","get",8.55961385869961e-06
"be able to go",6,"be","able","to","go",2.56788415760988e-06
"be able to hear",5,"be","able","to","hear",2.1399034646749e-06
"be able to make",10,"be","able","to","make",4.2798069293498e-06
"be able to say",6,"be","able","to","say",2.56788415760988e-06
"be able to see",14,"be","able","to","see",5.99172970108972e-06
"be able to write",6,"be","able","to","write",2.56788415760988e-06
"be careful not to",5,"be","careful","not","to",2.1399034646749e-06
"be entered to win",8,"be","entered","to","win",3.42384554347984e-06
"be found in the",5,"be","found","in","the",2.1399034646749e-06
"be interesting to see",8,"be","interesting","to","see",3.42384554347984e-06
"be one of the",23,"be","one","of","the",9.84355593750455e-06
"be one of those",9,"be","one","of","those",3.85182623641482e-06
"be part of the",24,"be","part","of","the",1.02715366304395e-05
"be reached for comment",10,"be","reached","for","comment",4.2798069293498e-06
"be sure to check",13,"be","sure","to","check",5.56374900815474e-06
"be the first to",7,"be","the","first","to",2.99586485054486e-06
"be the one to",6,"be","the","one","to",2.56788415760988e-06
"be the only one",8,"be","the","only","one",3.42384554347984e-06
"be used as a",7,"be","used","as","a",2.99586485054486e-06
"be where i am",5,"be","where","i","am",2.1399034646749e-06
"because of all the",6,"because","of","all","the",2.56788415760988e-06
"because of the way",5,"because","of","the","way",2.1399034646749e-06
"been a long time",9,"been","a","long","time",3.85182623641482e-06
"been a lot of",9,"been","a","lot","of",3.85182623641482e-06
"been a part of",5,"been","a","part","of",2.1399034646749e-06
"been a while since",7,"been","a","while","since",2.99586485054486e-06
"been looking forward to",5,"been","looking","forward","to",2.1399034646749e-06
"been one of the",9,"been","one","of","the",3.85182623641482e-06
"been trying to get",5,"been","trying","to","get",2.1399034646749e-06
"been waiting for the",5,"been","waiting","for","the",2.1399034646749e-06
"before the end of",11,"before","the","end","of",4.70778762228478e-06
"beginning of the year",6,"beginning","of","the","year",2.56788415760988e-06
"being able to get",5,"being","able","to","get",2.1399034646749e-06
"being one of the",5,"being","one","of","the",2.1399034646749e-06
"being part of the",7,"being","part","of","the",2.99586485054486e-06
"believe it or not",7,"believe","it","or","not",2.99586485054486e-06
"believed to have been",5,"believed","to","have","been",2.1399034646749e-06
"best of luck to",5,"best","of","luck","to",2.1399034646749e-06
"best way to get",5,"best","way","to","get",2.1399034646749e-06
"between a and m",5,"between","a","and","m",2.1399034646749e-06
"between the two of",6,"between","the","two","of",2.56788415760988e-06
"big thank you to",5,"big","thank","you","to",2.1399034646749e-06
"big time rush big",5,"big","time","rush","big",2.1399034646749e-06
"billions of dollars in",7,"billions","of","dollars","in",2.99586485054486e-06
"born and raised in",5,"born","and","raised","in",2.1399034646749e-06
"both ends of the",5,"both","ends","of","the",2.1399034646749e-06
"both sides of the",9,"both","sides","of","the",3.85182623641482e-06
"bottom line is that",6,"bottom","line","is","that",2.56788415760988e-06
"bout to go to",5,"bout","to","go","to",2.1399034646749e-06
"boys and girls club",5,"boys","and","girls","club",2.1399034646749e-06
"bring to a boil",9,"bring","to","a","boil",3.85182623641482e-06
"brought to you by",6,"brought","to","you","by",2.56788415760988e-06
"but at the end",5,"but","at","the","end",2.1399034646749e-06
"but at the same",18,"but","at","the","same",7.70365247282965e-06
"but for the most",5,"but","for","the","most",2.1399034646749e-06
"but he added that",5,"but","he","added","that",2.1399034646749e-06
"but he did not",7,"but","he","did","not",2.99586485054486e-06
"but he said he",5,"but","he","said","he",2.1399034646749e-06
"but i am not",6,"but","i","am","not",2.56788415760988e-06
"but i cant help",5,"but","i","cant","help",2.1399034646749e-06
"but i dont know",13,"but","i","dont","know",5.56374900815474e-06
"but i dont see",7,"but","i","dont","see",2.99586485054486e-06
"but i dont think",9,"but","i","dont","think",3.85182623641482e-06
"but i dont want",5,"but","i","dont","want",2.1399034646749e-06
"but i feel like",8,"but","i","feel","like",3.42384554347984e-06
"but i had to",7,"but","i","had","to",2.99586485054486e-06
"but i have a",13,"but","i","have","a",5.56374900815474e-06
"but i have to",21,"but","i","have","to",8.98759455163459e-06
"but i just cant",5,"but","i","just","cant",2.1399034646749e-06
"but i know that",8,"but","i","know","that",3.42384554347984e-06
"but i like it",5,"but","i","like","it",2.1399034646749e-06
"but i love it",6,"but","i","love","it",2.56788415760988e-06
"but i think i",10,"but","i","think","i",4.2798069293498e-06
"but i think it",9,"but","i","think","it",3.85182623641482e-06
"but i think its",9,"but","i","think","its",3.85182623641482e-06
"but i think the",5,"but","i","think","the",2.1399034646749e-06
"but i want to",10,"but","i","want","to",4.2798069293498e-06
"but i wanted to",8,"but","i","wanted","to",3.42384554347984e-06
"but if i were",5,"but","if","i","were",2.1399034646749e-06
"but if you do",5,"but","if","you","do",2.1399034646749e-06
"but if you have",5,"but","if","you","have",2.1399034646749e-06
"but im going to",6,"but","im","going","to",2.56788415760988e-06
"but im not sure",7,"but","im","not","sure",2.99586485054486e-06
"but in the end",9,"but","in","the","end",3.85182623641482e-06
"but it does not",5,"but","it","does","not",2.1399034646749e-06
"but it has been",5,"but","it","has","been",2.1399034646749e-06
"but it is a",8,"but","it","is","a",3.42384554347984e-06
"but it may be",5,"but","it","may","be",2.1399034646749e-06
"but it was a",11,"but","it","was","a",4.70778762228478e-06
"but it was so",5,"but","it","was","so",2.1399034646749e-06
"but it will be",5,"but","it","will","be",2.1399034646749e-06
"but lets just say",5,"but","lets","just","say",2.1399034646749e-06
"but most of the",5,"but","most","of","the",2.1399034646749e-06
"but not enough to",5,"but","not","enough","to",2.1399034646749e-06
"but one of the",6,"but","one","of","the",2.56788415760988e-06
"but other than that",5,"but","other","than","that",2.1399034646749e-06
"but that doesnt mean",9,"but","that","doesnt","mean",3.85182623641482e-06
"but the rest of",5,"but","the","rest","of",2.1399034646749e-06
"but the truth is",6,"but","the","truth","is",2.56788415760988e-06
"but there is a",15,"but","there","is","a",6.4197103940247e-06
"but there is no",6,"but","there","is","no",2.56788415760988e-06
"but this is a",7,"but","this","is","a",2.99586485054486e-06
"but we have a",6,"but","we","have","a",2.56788415760988e-06
"but we need to",6,"but","we","need","to",2.56788415760988e-06
"but what about the",6,"but","what","about","the",2.56788415760988e-06
"but when it comes",8,"but","when","it","comes",3.42384554347984e-06
"but you can still",5,"but","you","can","still",2.1399034646749e-06
"but you have to",8,"but","you","have","to",3.42384554347984e-06
"by advertising and linking",8,"by","advertising","and","linking",3.42384554347984e-06
"by far the most",5,"by","far","the","most",2.1399034646749e-06
"by the associated press",5,"by","the","associated","press",2.1399034646749e-06
"by the end of",54,"by","the","end","of",2.31109574184889e-05
"by the fact that",9,"by","the","fact","that",3.85182623641482e-06
"by the number of",5,"by","the","number","of",2.1399034646749e-06
"by the time he",6,"by","the","time","he",2.56788415760988e-06
"by the time i",23,"by","the","time","i",9.84355593750455e-06
"by the time the",8,"by","the","time","the",3.42384554347984e-06
"by the time we",11,"by","the","time","we",4.70778762228478e-06
"ca amazon co uk",8,"ca","amazon","co","uk",3.42384554347984e-06
"cabin in the woods",8,"cabin","in","the","woods",3.42384554347984e-06
"calories protein carbohydrate fat",7,"calories","protein","carbohydrate","fat",2.99586485054486e-06
"came out of the",6,"came","out","of","the",2.56788415760988e-06
"came up to me",5,"came","up","to","me",2.1399034646749e-06
"came up with a",5,"came","up","with","a",2.1399034646749e-06
"came up with the",11,"came","up","with","the",4.70778762228478e-06
"can be a bit",6,"can","be","a","bit",2.56788415760988e-06
"can be a great",6,"can","be","a","great",2.56788415760988e-06
"can be found in",5,"can","be","found","in",2.1399034646749e-06
